1. Grama Niladhari Division,2. Gender,3. Age of the child (Years),4. Weight of the child (kg):,5. How would you rate your child’s Overall Academic performances? [.],6. Number of people who live in your household,7. What animal protein sources do you give your child the most?,8. Is seafood available frequently in your area?,9. Does your child eat freshwater fish?,"9. (A) If Yes, mention the most preferred freshwater fish type of the child.","9. (B) If no, what is the reason?","9. (C) If your child hesitates to eat freshwater fish, what are the methods you used to encourage/improve their consumption usually?",10. Why does your child prefer freshwater fish?,11. What is the reason for including freshwater fish in your child’s diet?,12. Has the amount of freshwater fish your family  consumed changed over the last 3 years?,"13. If changed, what is the reason?",14. Have you ever received any guidance or recommendation from a healthcare professional regarding freshwater fish consumption of your child?,15. Have you ever limited your child’s freshwater fish consumption due to any reason?,"16. If Yes, what is the reason?","17. “Freshwater fish is a healthy source of animal protein and provide
other important nutrients for children.”",18. How often does your child eat freshwater fish?,"19. When the child eats freshwater fish, what is the average amount per
day?",20. How many pieces the child eats per meal?,21.What is your child’s favorite way of preparing freshwater fish?,22.What type of freshwater fish usually purchase in your household and how much per month? [Tilapia],22.What type of freshwater fish usually purchase in your household and how much per month? [Korali],22.What type of freshwater fish usually purchase in your household and how much per month? [Hunga],22.What type of freshwater fish usually purchase in your household and how much per month? [Loolla],22.What type of freshwater fish usually purchase in your household and how much per month? [Pethiya],22.What type of freshwater fish usually purchase in your household and how much per month? [Aandha],22.What type of freshwater fish usually purchase in your household and how much per month? [Kawayya],22.What type of freshwater fish usually purchase in your household and how much per month? [Ankutta],22.What type of freshwater fish usually purchase in your household and how much per month? [Magura],22.What type of freshwater fish usually purchase in your household and how much per month? [Karadu issa],22.What type of freshwater fish usually purchase in your household and how much per month? [Carp Spp.],22.What type of freshwater fish usually purchase in your household and how much per month? [Other],"22. (b) If you consume fish other than the above-mentioned species, please mention it here.",23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Dried fish],23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Smoked fish],23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Other],"23. (b) If you consume fish product other than the above-mentioned processed product, please mention it here.",24. What are the barriers to increasing freshwater fish consumption?,25. Where do you usually get the fish from?,"26. Have you noticed any allergies symptoms of your child after eating
Freshwater fish?","27. If Yes, please mention the fish species/s","28. If Yes, which symptoms have you observed?
(You can select more than one option)"
gonewa,male,7,18,Very Good,6,"Meat (Chicken,Beef, Pork, etc.)",No,Yes,Thilapiya,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Milder taste,Nutritional benefits,Decreased,Expensive ,No,No,,Strongly agree,Daily,One meal,2,Curry (Chilled),Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,2 - 4 kg,,Less than 2 kg,Less than 2 kg,2 - 4 kg,2 - 4 kg,No purchasing,,Less than 0.5 kg,0.5 - 1 kg,No purchasing,,"Fewer places to purchase, Expensive, Fish yield is low",Delivery vehicles,No,,
gonewa,male,8,17,Good,4,"Meat (Chicken,Beef, Pork, etc.)",No,Yes,THILAPIYA,Dislike of the taste or texture,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Milder taste,Nutritional benefits,Decreased,Expensive ,No,No,,Strongly agree,3-4 times a week,One meal,2,Curry (Chilled),Less than 2 kg,2 - 4 kg,Less than 2 kg,2 - 4 kg,Less than 2 kg,2 - 4 kg,Less than 2 kg,2 - 4 kg,Less than 2 kg,2 - 4 kg,Less than 2 kg,No purchasing,,Less than 0.5 kg,0.5 - 1 kg,No purchasing,,"Fewer places to purchase, Expensive, Fish yield is low","Fish stall, Delivery vehiclesc, Directly from fishermenc",No,,
gonewa,male,8,18,Excellent,5,"Meat (Chicken,Beef, Pork, etc.)",No,Yes,Thilapiya,,,"Milder taste, Texture",Nutritional benefits,Decreased,Expensive ,No,No,,Agree,Once a week,Two meals,2,"Curry (Chilled), Fried fish",Less than 2 kg,Less than 2 kg,No purchasing,Less than 2 kg,No purchasing,No purchasing,No purchasing,Less than 2 kg,No purchasing,No purchasing,No purchasing,Less than 2 kg,,0.5 - 1 kg,Less than 0.5 kg,No purchasing,,Expensive,Delivery vehicles,No,,
gonewa,female,8,14,Excellent,5,"Meat (Chicken,Beef, Pork, etc.), Eggs",No,Yes,Thilapiya,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)","Milder taste, Texture","Health benefits, Nutritional benefits, Freshness",Decreased,Expensive ,No,No,,Agree,Twice a week,One meal,2,"Curry (With coconut milk), Fried fish",2 - 4 kg,Less than 2 kg,No purchasing,Less than 2 kg,No purchasing,No purchasing,No purchasing,Less than 2 kg,No purchasing,No purchasing,No purchasing,No purchasing,,0.5 - 1 kg,Less than 0.5 kg,No purchasing,,Expensive,Delivery vehicles,No,,
gonewa,male,10,30,Excellent,4,Eggs,Maybe,Yes,All,,Try different recipes with different flavors,As a food habit,"Nutritional benefits, Health benefits",Decreased,Economic Difficulties ,No,No,,Agree,Few times a month,Two meals,1,"Curry (Chilled), Curry (With coconut milk), Fish cutlet, Patties, Sandwiches",No purchasing,Less than 2 kg,No purchasing,Less than 2 kg,No purchasing,No purchasing,No purchasing,Less than 2 kg,No purchasing,No purchasing,No purchasing,,,Less than 0.5 kg,No purchasing,,,Expensive,Delivery vehicles,No,,
pallankulama,male,8,not mentioned,Very Good,7,Fish,No,Yes,"Korali, Loolla, Hunga",,Serve with their favorite foods,"Milder taste, Texture","Nutritional benefits, Cheaper than other protein sources, Health benefits",Decreased,Expensive ,Maybe,Yes,,Agree,3-4 times a week,Two meals,2,"Curry (With coconut milk), Fried fish",,2 - 4 kg,2 - 4 kg,Less than 2 kg,,,,,Less than 2 kg,Less than 2 kg,,,,No purchasing,Less than 0.5 kg,,,"Expensive, Fish yield is low",Delivery vehicles,No,,
sadamalgama,male,4,7,Very Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,No,Not mentioned,Presence of so many bones,Serve with their favorite foods,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,Delivery vehicles,,,
gonewa,male,7,24.7,Good,6,"Fish, Eggs",Yes,No,Not mentioned,"Dislike of the taste or texture, Unpleasant smell, Presence of so many bones, Presence of so many bones",,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonewa,female,3,10,Very Good,5,Dairy Products,Yes,No,Not mentioned,Dislike of the taste or texture,,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walasmulla,female,6,18,Very Good,not  mentioned,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Yes,Yes,Korali,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches), Try different recipes with different flavors",Milder taste,"Nutritional benefits, Health benefits, Taste, Freshness",Increased,,Yes,Maybe,Due to some health conditions of the children,Strongly disagree,3-4 times a week,Two meals,3,"Curry (Chilled), Curry (With coconut milk), Fish cutlet, Patties, Sandwiches",Less than 2 kg,4 - 6 kg,2 - 4 kg,,2 - 4 kg,,,,,,,2 - 4 kg,,Less than 0.5 kg,0.5 - 1 kg,,,Expensive,Fish stall,No,,
gonewa,female,8,15,Very Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,No,Not mentioned,"Dislike of the taste or texture, Unpleasant smell",,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rambewa,male,5,18,Very Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Tilapia ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",As a food habit,Nutritional benefits,No change,,Yes,No,,Agree,Few times a month,Two meals,2,"Curry (Chilled), Curry (With coconut milk), Fried fish",2 - 4 kg,No purchasing,No purchasing,Less than 2 kg,No purchasing,No purchasing,No purchasing,Less than 2 kg,No purchasing,No purchasing,No purchasing,No purchasing,,1.5 - 2 kg,No purchasing,No purchasing,,"Expensive, Fish yield is low","Fish stall, Delivery vehicles, Directly from fishermen",No,,
gonewa,female,3,10,Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Yes,Yes,Talapath,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches), Serve with their favorite foods, Try different recipes with different flavors",Awareness of nutritional quality,"Nutritional benefits, Health benefits, Freshness",No change,,No,Maybe,,Agree,3-4 times a week,One meal,2,"Fried fish, Grilled, Fish cutlet/patties/sandwiches",2 - 4 kg,Less than 2 kg,No purchasing,Less than 2 kg,No purchasing,No purchasing,No purchasing,Less than 2 kg,No purchasing,No purchasing,No purchasing,No purchasing,,1.5 - 2 kg,No purchasing,More than 2 kg,,Expensive,Delivery vehicles,No,,
rambewa,female,6,22,Very Good,4,"Meat (Chicken,Beef, Pork, etc.)",Yes,Yes,Thilapi,,Try different recipes with different flavors,As a food habit,Nutritional benefits,No change,,Maybe,No,,Strongly disagree,Few times a month,One meal,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,,Less than 0.5 kg,,,Expensive,Delivery vehicles,No,,
pallankulama,female,6,18,Good,7,"Fish, Eggs",No,Yes,Loolla,,Try different recipes with different flavors,Awareness of nutritional quality,Nutritional benefits,Increased,Readily available ,No,No,,Agree,3-4 times a week,One meal,1,Fried fish,,Less than 2 kg,Less than 2 kg,2 - 4 kg,,,Less than 2 kg,,,,,,,,,,,"Expensive, Fish yield is low",Delivery vehicles,No,,
pallankulama,male,9,16,Fair,5,Fish,No,Yes,Tilapia ,,,As a food habit,Nutritional benefits,No change,,No,No,,Neither agree nor disagree,3-4 times a week,Two meals,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,1.5 - 2 kg,,,,Expensive,Delivery vehicles,No,,
pallankulama,female,7,19,Fair,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Not mentioned,,,Awareness of nutritional quality,Nutritional benefits,Increased,,No,No,,Agree,3-4 times a week,One meal,2,Fried fish,Less than 2 kg,,,Less than 2 kg,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Delivery vehicles,No,,
pallankulama,male,9,18,Excellent,4,Dairy Products,No,Yes,"Loolla, Korali",,Try different recipes with different flavors,Awareness of nutritional quality,Nutritional benefits,Decreased,,No,No,,Agree,Twice a week,One meal,2,"Curry (With coconut milk), Fried fish",,Less than 2 kg,,Less than 2 kg,,,,,,,,,,0.5 - 1 kg,,,,Less fishing these days,Delivery vehicles,No,,
pallankulama,male,7,16,Fair,4,Fish,No,Yes,Korali,,,Awareness of nutritional quality,Nutritional benefits,Decreased,Less availability ,Yes,No,,Agree,Twice a week,One meal,2,Fried fish,No purchasing,Less than 2 kg,No purchasing,No purchasing,No purchasing,No purchasing,No purchasing,No purchasing,No purchasing,No purchasing,Less than 2 kg,,,1 - 1.5 kg,,,,Expensive,Delivery vehicles,No,,
rambewa,male,10,29,Fair,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Not mentioned,Dislike of the taste or texture,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Few times a month,Two meals,More than 3,Fried fish,,Less than 2 kg,,,,,,,,,,,,,1 - 1.5 kg,,,Less preference,Delivery vehicles,No,,
pallankulama,female,9,35,Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Not mentioned,,,As a food habit,As a habit,No change,,No,No,,Neither agree nor disagree,3-4 times a week,Three meals,2,Curry (Chilled),,Less than 2 kg,Less than 2 kg,Less than 2 kg,,,,,,,,,,,1 - 1.5 kg,,,,Not mentioned ,No,,
diviya udabendawewa,male,9,19,Fair,4,Fish,Yes,Yes,Not mentioned,,,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Neither agree nor disagree,Once a week,Three meals,2,Curry (Chilled),4 - 6 kg,,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
diviya udabendawewa,male,9,15,Fair,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Tilapia ,,Serve with their favorite foods,Milder taste,Nutritional benefits,Decreased,Economic Difficulties ,No,No,,Agree,Twice a week,One meal,2,Curry (Chilled),2 - 4 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,No purchasing,No purchasing,No purchasing,,,0.5 - 1 kg,,,,Expensive,Directly from fishermen,No,,
diviya udabendawewa,male,9,30,Fair,7,Fish,No,Yes,Loolla ,,Serve with their favorite foods,As a food habit,Readily available,No change,,No,No,,Neither agree nor disagree,3-4 times a week,One meal,2,Curry (Chilled),Less than 2 kg,,,2 - 4 kg,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
diviya udabendawewa,male,6,17,Fair,5,Fish,No,Yes,Tilapia ,,,As a food habit,Nutritional benefits,No change,,No,No,,Agree,Once a week,Two meals,2,Fried fish,4 - 6 kg,,,,,,,,,,,,,Less than 0.5 kg,,,,,Not mentioned ,No,,
diviya udabendawewa,female,10,25,Very Good,6,Fish,No,Yes,Tilapia ,,,Awareness of nutritional quality,As a habit,No change,,No,No,,Neither agree nor disagree,3-4 times a week,One meal,2,Curry (Chilled),More than 6 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Fish yield is low,Directly from fishermen,No,,
thalgahawewa,male,7,18,Excellent,not  mentioned,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Not mentioned,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,Decreased,,Yes,Yes,Economic difficulties ,Agree,Few times a month,Two meals,2,Fried fish,,Less than 2 kg,,,,,,,,,,,,Less than 0.5 kg,,,,,Wholesale,No,,
diviya udabendawewa,male,8,not mentioned,Good,6,Eggs,No,Yes,Tilapia ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Neither agree nor disagree,3-4 times a week,One meal,2,Curry (Chilled),4 - 6 kg,,,,,,,,,,,2 - 4 kg,Lellu,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
diviya udabendawewa,male,7,16,Very Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Not mentioned,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Milder taste,Cheaper than other protein sources,Decreased,Expensive ,No,No,,Agree,Few times a month,Two meals,2,Fried fish,,Less than 2 kg,,,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Delivery vehicles,No,,
diviya udabendawewa,female,7,15,Fair,3,"Fish, Eggs",Maybe,Yes,Theppili ,,Explaining the benefits of eating fish,As a food habit,Nutritional benefits,No change,,Yes,No,,Strongly agree,3-4 times a week,One meal,2,Curry (With coconut milk),2 - 4 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,,Less than 2 kg,Less than 2 kg,,,,2 - 4 kg,Theppili,1 - 1.5 kg,,,,Fish yield is low,Directly from fishermen,No,,
diviya udabendawewa,female,7,22,Good,6,Fish,Yes,Yes,All,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Neither agree nor disagree,Daily,One meal,1,Fried fish,More than 6 kg,,,,,,,,,,,,,More than 2 kg,More than 2 kg,,,Expensive,Directly from fishermen,No,,
diviya udabendawewa,female,7,17.5,Very Good,5,Fish,Yes,Yes,All,Dislike of the taste or texture,Try different recipes with different flavors,As a food habit,Nutritional benefits,Decreased,Economic Difficulties ,No,No,,Neither agree nor disagree,Once a week,One meal,1,Curry (With coconut milk),More than 6 kg,,,,,,,,,,,,,,,1.5 - 2 kg,,Expensive,Fish stall,No,,
diviya udabendawewa,female,7,20,Excellent,4,Fish,No,Yes,Loolla ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Daily,Two meals,1,Curry (Chilled),2 - 4 kg,2 - 4 kg,Less than 2 kg,Less than 2 kg,2 - 4 kg,No purchasing,Less than 2 kg,Less than 2 kg,No purchasing,No purchasing,No purchasing,No purchasing,,No purchasing,Less than 0.5 kg,,,Less fishing these days,Directly from fishermen,No,,
diviya udabendawewa,male,8,32,Good,4,Fish,No,Yes,Tilapia ,,,As a food habit,Cheaper than other protein sources,No change,,No,No,,Agree,3-4 times a week,Three meals,1,Curry (With coconut milk),4 - 6 kg,4 - 6 kg,,,,,,,,,,,,No purchasing,No purchasing,,,,Directly from fishermen,No,,
diviya udabendawewa,female,7,16.5,Good,5,Fish,Yes,Yes,Chicken,Presence of so many bones,Serve with their favorite foods,Awareness of nutritional quality,Nutritional benefits,Increased,,No,No,,Neither agree nor disagree,Daily,One meal,2,Curry (Chilled),More than 6 kg,,,,,,,,,,,,,More than 2 kg,,,,Less fishing these days,Directly from fishermen,No,,
diviya udabendawewa,female,8,15,Excellent,4,Fish,Yes,Yes,Loolla ,,Serve with their favorite foods,Milder taste,Nutritional benefits,No change,,No,No,,Neither agree nor disagree,Twice a week,One meal,2,Fried fish,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,,,,,,,,,,1.5 - 2 kg,,,,Expensive,Fair,No,,
diviya udabendawewa,female,5,15,Very Good,4,Fish,No,Yes,Theppili ,,Serve with their favorite foods,As a food habit,As a habit,No change,,No,No,,Agree,Twice a week,Two meals,1,Curry (With coconut milk),Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,,,,,,More than 2 kg,,,,Expensive,Directly from fishermen,No,,
diviya udabendawewa,male,10,21.6,Good,6,"Fish, Eggs",Yes,Yes,Theppili ,Presence of so many bones,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Neither agree nor disagree,Once a week,Two meals,2,Fried fish,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,,,Less than 2 kg,Lellu,Less than 0.5 kg,,,,Fish yield is low,Not mentioned ,No,,
diviya udabendawewa,male,4,10.2,Good,3,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Yes,Yes,Tilapia ,,Explaining the benefits of eating fish,As a food habit,Nutritional benefits,No change,,No,No,,Agree,Twice a week,One meal,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Directly from fishermen,No,,
diviya udabendawewa,male,10,22.2,Poor,4,"Fish, Eggs",Yes,Yes,Not mentioned,Presence of so many bones,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Neither agree nor disagree,Twice a week,Two meals,2,Curry (Chilled),Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,,,,,Less than 0.5 kg,,,,Fish yield is low,Not mentioned ,No,,
diviya udabendawewa,male,5,16,Very Good,4,Fish,No,Yes,Tilapia ,,Serve with their favorite foods,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Few times a month,One meal,2,Curry (Chilled),Less than 2 kg,Less than 2 kg,No purchasing,No purchasing,No purchasing,No purchasing,No purchasing,No purchasing,No purchasing,No purchasing,No purchasing,No purchasing,,,,,,Expensive,Directly from fishermen,No,,
thalgahawewa,male,4,14.25,Very Good,6,"Meat (Chicken,Beef, Pork, etc.), Fish",Yes,Yes,Theppili ,,"Serve with their favorite foods, Involving child in choosing or cooking the fish",Milder taste,Freshness,No change,,Yes,No,,Agree,Twice a week,Two meals,1,"Curry (Chilled), Fried fish",Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,No purchasing,No purchasing,Less than 2 kg,No purchasing,No purchasing,,,,1 - 1.5 kg,,,,Less fishing these days,Delivery vehicles,No,,
pallankulama,male,7,33.5,Very Good,4,Eggs,Yes,Yes,Tilapia ,,Serve with their favorite foods,Awareness of nutritional quality,Nutritional benefits,No change,,Yes,No,,Agree,3-4 times a week,One meal,2,Curry (With coconut milk),,,,,,,,,,,,,,,,,,,Delivery vehicles,No,,
rambewa,female,7,not mentioned,Fair,4,"Fish, Eggs",Yes,Yes,Tilapia ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,Decreased,,Yes,No,,Agree,3-4 times a week,One meal,1,Curry (Chilled),Less than 2 kg,,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
